id,fundingType,status,title,organization,organizationSlug,ecosystems,categories,currency,minAward,maxAward,budget,allocated,opensAt,nextDeadlineAt,rollingDeadline,applicationUrl
curated:1inch-aqua-bug-bounty,bounty,open,1inch Aqua Bug Bounty,1inch,1inch,Ethereum,Funding Opportunity|Security|Bug Bounty|Smart Contract,USD,,100000,,,2026-06-11T12:46:32.000Z,,true,https://immunefi.com/bug-bounty/1inch-aqua/information/
curated:aave-bug-bounty,bounty,open,Aave Bug Bounty,Aave,aave,Ethereum,Funding Opportunity|Security|Bug Bounty|Defi|Asset Management|DAO|Lending|Stablecoin|Staking|Smart Contract,USD,,1000000,,,2023-10-18T09:00:00.000Z,,true,https://immunefi.com/bug-bounty/aave/information/
curated:aave-grants,grant,closed,Aave Grants,Aave Grants DAO,aave-grants-dao,Ethereum,Funding Opportunity|DeFi|Developer Tools,USD,,500000,,4852753,,,false,https://aavegrants.org/apply-for-a-grant/
curated:agglayer-bug-bounty,bounty,open,Agglayer Bug Bounty,Agglayer by Polygon,agglayer,Polygon|Ethereum,Funding Opportunity|Security|Bug Bounty,USD,,250000,,,2025-10-14T14:00:00.000Z,,true,https://cantina.xyz/bounties/3aaad22b-52ee-4bb2-bed2-4be53b0993cc
curated:alchemy-x-arbitrum-grant,grant,open,Alchemy x Arbitrum Grant,Alchemy,alchemy,Arbitrum|Ethereum,Funding Opportunity|Infrastructure|Developer Tools,USD,,500000,10000000,9000000,,,true,https://www.alchemy.com/arbitrum-grant-contact
curated:arbifuel-gas-fee-sponsorship-program,grant,open,ArbiFuel (Gas Fee Sponsorship Program),The Arbitrum Foundation,arbitrum-foundation,Arbitrum|Ethereum,Funding Opportunity|Infrastructure|Payments,USD,,10000,,,,,true,https://airtable.com/appzb4GfqGfrnDXjW/shrulGIIp6l6ezAlt
curated:arbitrum-audit-program,grant,closed,Arbitrum Audit Program,The Arbitrum Foundation,arbitrum-foundation,Arbitrum|Ethereum,Funding Opportunity|Security|Audits,USD,,,10000000,1120000,,,false,https://tally.so/r/3xzEzv?program=aap&ref=blog.arbitrum.foundation
curated:arbitrum-bug-bounty,bounty,open,Arbitrum Bug Bounty,Arbitrum,arbitrum,Arbitrum|Ethereum,Funding Opportunity|Security|Bug Bounty|Blockchain|L2|Smart Contract,USD,,2000000,,,2021-08-31T13:00:00.000Z,,true,https://immunefi.com/bug-bounty/arbitrum/information/
curated:arbitrum-dda-developer-tooling-on-arbitrum-one-and-nova,rfp,closed,Arbitrum DDA — Dev Tooling on One and Stylus,Arbitrum DAO — Delegated Domain Allocation (Developer Tooling domain),arbitrum-dao,Arbitrum,Funding Opportunity|Developer Tooling|Infrastructure|Documentation|Security|DevRel,,,,,,,,false,https://arbitrum.questbook.app/
curated:arbitrum-dda-education-community-growth-and-events,rfp,closed,"Arbitrum DDA — Education, Community Growth and Events","Arbitrum DAO — Delegated Domain Allocation (Education, Community Growth and Events domain)",arbitrum-dao,Arbitrum,Funding Opportunity|Education|Community|Events|Hackathons|Stylus,,,,,,,,false,https://arbitrum.questbook.app/
curated:arbitrum-gaming-ventures-agv,grant,closed,Arbitrum Gaming Ventures (AGV),Arbitrum Gaming Ventures,arbitrum-gaming-ventures,Arbitrum|Ethereum,Funding Opportunity|Gaming|Entertainment|Consumer,ARB,,,225000000,,,,true,https://arbitrumgamingventures.com/apply
curated:balancer-bug-bounty,bounty,open,Balancer Bug Bounty,Balancer Foundation,balancer,Ethereum,Funding Opportunity|Security|Bug Bounty|Defi|AMM|DEX|Smart Contract,USD,,1000000,,,2022-05-12T16:00:00.000Z,,true,https://immunefi.com/bug-bounty/balancer/information/
curated:base-ecosystem-fund,vc_fund,open,Base Ecosystem Fund,Base,base,Base|Ethereum,Funding Opportunity|Early Stage|Trading|Payments|AI Agents,,,,,,,,true,https://www.base.org/ecosystem-fund/apply
